word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_list,cue_color,box_color,show_cue,show_nocue
BADGE,Y,Y,5,5,1,561,old,manmade,uninformed,uninformed3,white,cyan,1,0
CORAL,n,y,5,5,2,572,old,manmade,uninformed,uninformed3,white,cyan,1,0
WHEAT,N,Y,5,9,1,594,old,manmade,uninformed,uninformed3,white,cyan,1,0
BLADE,y,y,5,13,1,584,old,manmade,uninformed,uninformed3,white,cyan,1,0
DITCH,N,N,5,10,1,555,old,manmade,uninformed,uninformed3,white,cyan,1,0
HERB,N,Y,4,7,1,558,old,manmade,uninformed,uninformed3,white,cyan,1,0
LACE,Y,Y,4,7,1,545,old,manmade,uninformed,uninformed3,white,cyan,1,0
TOAST,Y,Y,5,19,1,582,old,shoebox,uninformed,uninformed3,white,red,1,0
SODA,Y,Y,4,3,2,600,old,shoebox,uninformed,uninformed3,white,red,1,0
COAL,N,Y,4,32,1,584,old,shoebox,uninformed,uninformed3,white,red,1,0
CARPET,Y,N,6,13,2,581,old,shoebox,uninformed,uninformed3,white,red,1,0
SACK,Y,Y,4,8,1,582,old,shoebox,uninformed,uninformed3,white,red,1,0
CLOVER,N,Y,6,16,2,554,old,shoebox,uninformed,uninformed3,white,red,1,0
SHEEP,N,N,5,23,1,622,old,shoebox,uninformed,uninformed3,white,red,1,0
TAIL,N,Y,4,24,1,613,old,shoebox,uninformed,uninformed3,white,red,1,0
AXLE,Y,N,4,5,2,555,old,shoebox,uninformed,uninformed3,white,red,1,0
SQUIRREL,N,Y,8,1,2,612,old,shoebox,uninformed,uninformed3,white,red,1,0
SPARK,N,Y,5,12,1,526,old,shoebox,uninformed,uninformed3,white,red,1,0
GINGER,N,Y,6,2,2,522,old,shoebox,uninformed,uninformed3,white,red,1,0
VEIL,Y,Y,4,8,1,560,old,shoebox,uninformed,uninformed3,white,red,1,0
BIRCH,N,N,5,2,1,620,old,shoebox,uninformed,uninformed3,white,red,1,0
GIFT,Y,Y,4,33,1,533,old,shoebox,uninformed,uninformed3,white,red,1,0
BASEMENT,Y,N,8,31,2,585,old,shoebox,uninformed,uninformed3,white,red,1,0
CLOAK,Y,Y,5,3,1,543,old,shoebox,uninformed,uninformed3,white,red,1,0
CAMERA,Y,Y,6,36,2,627,old,shoebox,uninformed,uninformed3,white,red,1,0
PALACE,Y,N,6,38,2,579,old,shoebox,uninformed,uninformed3,white,red,1,0
PEAR,N,Y,4,6,1,634,old,shoebox,uninformed,uninformed3,white,red,1,0
VINE,N,Y,4,4,1,601,old,shoebox,uninformed,uninformed3,white,red,1,0
BOULDER,N,N,7,10,2,597,old,shoebox,uninformed,uninformed3,white,red,1,0
GALLERY,Y,N,7,31,3,569,old,shoebox,uninformed,uninformed3,white,red,1,0
RACKET,Y,N,6,5,2,562,old,shoebox,uninformed,uninformed3,white,red,1,0
SPEAR,Y,N,5,7,1,584,old,shoebox,uninformed,uninformed3,white,red,1,0
CHEESE,Y,Y,6,9,1,624,old,manmade,uninformed,uninformed3,white,cyan,1,0
PAINT,Y,Y,5,37,1,577,old,manmade,uninformed,uninformed3,white,cyan,1,0
CEREAL,Y,Y,6,17,2,637,old,manmade,uninformed,uninformed3,white,cyan,1,0
SPRUCE,N,N,6,5,1,568,old,manmade,uninformed,uninformed3,white,cyan,1,0
BUCKET,Y,N,6,7,2,594,old,manmade,uninformed,uninformed3,white,cyan,1,0
BEEF,N,Y,4,32,1,637,old,manmade,uninformed,uninformed3,white,cyan,1,0
SATIN,Y,Y,5,5,2,594,old,manmade,uninformed,uninformed3,white,cyan,1,0
TOOTH,N,Y,5,20,1,619,old,manmade,uninformed,uninformed3,white,cyan,1,0
JELLY,Y,Y,5,3,2,560,old,manmade,uninformed,uninformed3,white,cyan,1,0
LEAF,N,Y,4,12,1,593,old,manmade,uninformed,uninformed3,white,cyan,1,0
FOREARM,N,Y,7,3,2,608,old,manmade,uninformed,uninformed3,white,cyan,1,0
JEEP,Y,N,4,16,1,622,old,manmade,uninformed,uninformed3,white,cyan,1,0
MOSS,N,Y,4,9,1,575,old,manmade,uninformed,uninformed3,white,cyan,1,0
HELMET,Y,N,6,1,2,602,old,manmade,uninformed,uninformed3,white,cyan,1,0
SLOPE,N,N,5,19,1,513,old,manmade,uninformed,uninformed3,white,cyan,1,0
LINEN,Y,Y,5,6,2,581,old,manmade,uninformed,uninformed3,white,cyan,1,0
YOLK,n,y,4,1,1,593,old,manmade,uninformed,uninformed3,white,cyan,1,0
FABRIC,y,y,6,15,2,565,old,manmade,uninformed,uninformed3,white,cyan,1,0
RUBBER,y,y,6,15,2,596,old,manmade,uninformed,uninformed3,white,cyan,1,0
STRING,Y,Y,6,19,1,570,old,manmade,uninformed,uninformed3,white,cyan,1,0
PEPPER,N,Y,6,13,2,591,old,manmade,uninformed,uninformed3,white,cyan,1,0
ELEPHANT,N,N,8,7,3,628,old,manmade,uninformed,uninformed3,white,cyan,1,0
STATUE,Y,N,6,17,2,600,old,manmade,uninformed,uninformed3,white,cyan,1,0
SAUCE,Y,Y,5,20,1,576,old,manmade,uninformed,uninformed3,white,cyan,1,0
PLUM,N,Y,4,1,1,632,old,manmade,uninformed,uninformed3,white,cyan,1,0
UMBRELLA,Y,N,8,8,3,606,old,shoebox,uninformed,uninformed3,white,red,1,0
DRUM,Y,N,4,11,1,602,old,shoebox,uninformed,uninformed3,white,red,1,0
BRONZE,y,y,6,11,1,568,old,shoebox,uninformed,uninformed3,white,red,1,0
CALF,N,N,4,11,1,592,old,shoebox,uninformed,uninformed3,white,red,1,0
BARK,N,Y,4,14,1,563,old,shoebox,uninformed,uninformed3,white,red,1,0
EAGLE,N,N,5,5,2,616,old,shoebox,uninformed,uninformed3,white,red,1,0
COLLAR,Y,Y,6,17,2,622,old,shoebox,uninformed,uninformed3,white,red,1,0
MEAL,Y,Y,4,30,1,602,old,shoebox,uninformed,uninformed3,white,red,1,0
NEST,N,Y,4,20,1,557,old,shoebox,uninformed,uninformed3,white,red,1,0
JADE,N,Y,4,1,1,570,old,shoebox,uninformed,uninformed3,white,red,1,0
SPICE,N,Y,5,4,1,590,old,shoebox,uninformed,uninformed3,white,red,1,0
VIOLIN,Y,N,6,11,2,626,old,shoebox,uninformed,uninformed3,white,red,1,0
FEAST,Y,N,5,3,1,542,old,shoebox,uninformed,uninformed3,white,red,1,0
BREEZE,N,N,6,14,1,500,old,shoebox,uninformed,uninformed3,white,red,1,0
TAPE,Y,Y,4,35,1,564,old,shoebox,uninformed,uninformed3,white,red,1,0
GOAT,N,N,4,6,1,636,old,shoebox,uninformed,uninformed3,white,red,1,0
ALGAE,n,y,5,7,2,545,old,shoebox,uninformed,uninformed3,white,red,1,0
DRIZZLE,N,Y,7,5,2,558,old,shoebox,uninformed,uninformed3,white,red,1,0
DRUG,Y,Y,4,24,1,555,old,shoebox,uninformed,uninformed3,white,red,1,0
FLEA,N,Y,4,2,1,625,old,shoebox,uninformed,uninformed3,white,red,1,0
FLUTE,Y,Y,5,1,1,587,old,shoebox,uninformed,uninformed3,white,red,1,0
TULIP,N,Y,5,4,2,619,old,shoebox,uninformed,uninformed3,white,red,1,0
BROOM,Y,N,5,2,1,613,old,shoebox,uninformed,uninformed3,white,red,1,0
MEADOW,n,n,6,17,2,594,old,shoebox,uninformed,uninformed3,white,red,1,0
PORK,N,N,4,10,1,585,old,shoebox,uninformed,uninformed3,white,red,1,0
SHOE,Y,Y,4,14,1,600,old,manmade,uncued,uncued3,n/a,cyan,0,1
RAMP,Y,N,4,6,1,538,old,manmade,uncued,uncued3,n/a,cyan,0,1
TOBACCO,N,Y,7,19,3,609,old,manmade,uncued,uncued3,n/a,cyan,0,1
CLARINET,Y,N,8,1,3,633,old,manmade,uncued,uncued3,n/a,cyan,0,1
MULE,N,N,4,4,1,592,old,manmade,uncued,uncued3,n/a,cyan,0,1
LODGE,Y,N,5,19,1,538,old,manmade,uncued,uncued3,n/a,cyan,0,1
DEER,N,N,4,13,1,631,old,manmade,uncued,uncued3,n/a,cyan,0,1
DAWN,N,N,4,28,1,501,old,manmade,uncued,uncued3,n/a,cyan,0,1
FROST,n,y,5,6,1,608,old,manmade,uncued,uncued3,n/a,cyan,0,1
PACKAGE,y,n,7,20,2,580,old,manmade,uncued,uncued3,n/a,cyan,0,1
POSTER,Y,N,6,4,2,592,old,manmade,uncued,uncued3,n/a,cyan,0,1
