word,manmade,shoebox,nletters,freq,nsyllables,concreteness
ESSAY,Y,Y,5,19,2,527
LOCK,Y,Y,4,23,1,565
HAMMER,Y,Y,6,9,2,605
ANKLE,N,Y,5,8,2,608
BIRCH,N,N,5,2,1,620
KNOB,Y,Y,4,2,1,586
SAUCE,Y,Y,5,20,1,576
FLAG,Y,Y,4,16,1,606
CEMENT,Y,Y,6,11,2,646
CHESTNUT,N,Y,8,5,2,600
TEAR,N,Y,4,11,1,504
CLOSET,Y,N,6,16,2,599
PEPPER,N,Y,6,13,2,591
JADE,N,Y,4,1,1,570
TENT,Y,N,4,20,1,608
PYRAMID,Y,N,7,2,3,615
CLOVER,N,Y,6,16,2,554
LANE,Y,N,4,30,1,537
GARDENIA,N,Y,8,1,3,576
WALLET,Y,Y,6,6,2,584
RAMP,Y,N,4,6,1,538
TOOL,Y,Y,4,40,1,570
NECTAR,N,Y,6,3,2,556
POND,N,N,4,25,1,623
CARBON,N,Y,6,30,2,511
KITTEN,N,Y,6,5,2,612
JAIL,Y,N,4,21,1,590
GRAPH,Y,Y,5,17,1,553
CORK,Y,Y,4,9,1,608
SHOVEL,Y,N,6,5,2,581
POLLEN,N,Y,6,11,2,584
DRUG,Y,Y,4,24,1,555
CHART,Y,Y,5,22,1,532
POLE,Y,N,4,18,1,577
HELMET,Y,N,6,1,2,602
SPADE,Y,Y,5,10,1,565
CLOCK,Y,Y,5,20,1,591
LAMB,N,N,4,7,1,633
PENCIL,Y,Y,6,34,2,617
SUNBURN,N,N,7,5,2,563
APPLE,N,Y,5,9,2,620
DEER,N,N,4,13,1,631
ELEPHANT,N,N,8,7,3,628
CASH,Y,Y,4,36,1,547
JEWEL,N,Y,5,1,1,594
HERB,N,Y,4,7,1,558
NEST,N,Y,4,20,1,557
SHOWER,Y,N,6,15,1,588
VEIL,Y,Y,4,8,1,560
TONGUE,N,Y,6,35,1,634
CLOAK,Y,Y,5,3,1,543
PEACH,N,Y,5,3,1,617
MAPLE,N,N,5,7,2,534
BUCKET,Y,N,6,7,2,594
COUCH,Y,N,5,12,1,578
NAPKIN,Y,Y,6,3,2,585
BUSH,N,N,4,14,1,585
LENS,Y,Y,4,12,1,573
JEEP,Y,N,4,16,1,622
CRYSTAL,N,Y,7,23,2,587
CEILING,Y,N,7,31,2,606
SCISSORS,Y,Y,8,1,2,596
